DateKey,FullDate,Year,Month,DayOfMonth,DayName,MonthName,Quarter
20240309,2024-03-09,2024,3,9,Saturday,March,1
20240310,2024-03-10,2024,3,10,Sunday,March,1
20240311,2024-03-11,2024,3,11,Monday,March,1
20240312,2024-03-12,2024,3,12,Tuesday,March,1
20240313,2024-03-13,2024,3,13,Wednesday,March,1
20240314,2024-03-14,2024,3,14,Thursday,March,1
20240315,2024-03-15,2024,3,15,Friday,March,1
20240316,2024-03-16,2024,3,16,Saturday,March,1
20240317,2024-03-17,2024,3,17,Sunday,March,1
20240318,2024-03-18,2024,3,18,Monday,March,1
20240319,2024-03-19,2024,3,19,Tuesday,March,1
20240320,2024-03-20,2024,3,20,Wednesday,March,1
20240321,2024-03-21,2024,3,21,Thursday,March,1
20240322,2024-03-22,2024,3,22,Friday,March,1
20240323,2024-03-23,2024,3,23,Saturday,March,1
20240324,2024-03-24,2024,3,24,Sunday,March,1
20240325,2024-03-25,2024,3,25,Monday,March,1
20240326,2024-03-26,2024,3,26,Tuesday,March,1
20240327,2024-03-27,2024,3,27,Wednesday,March,1
20240328,2024-03-28,2024,3,28,Thursday,March,1
20240329,2024-03-29,2024,3,29,Friday,March,1
20240330,2024-03-30,2024,3,30,Saturday,March,1
20240331,2024-03-31,2024,3,31,Sunday,March,1
20240401,2024-04-01,2024,4,1,Monday,April,2
20240402,2024-04-02,2024,4,2,Tuesday,April,2
20240403,2024-04-03,2024,4,3,Wednesday,April,2
20240404,2024-04-04,2024,4,4,Thursday,April,2
20240405,2024-04-05,2024,4,5,Friday,April,2
20240406,2024-04-06,2024,4,6,Saturday,April,2
20240407,2024-04-07,2024,4,7,Sunday,April,2
20240408,2024-04-08,2024,4,8,Monday,April,2
20240409,2024-04-09,2024,4,9,Tuesday,April,2
20240410,2024-04-10,2024,4,10,Wednesday,April,2
20240411,2024-04-11,2024,4,11,Thursday,April,2
20240412,2024-04-12,2024,4,12,Friday,April,2
20240413,2024-04-13,2024,4,13,Saturday,April,2
20240414,2024-04-14,2024,4,14,Sunday,April,2
20240415,2024-04-15,2024,4,15,Monday,April,2
20240416,2024-04-16,2024,4,16,Tuesday,April,2
20240417,2024-04-17,2024,4,17,Wednesday,April,2
20240418,2024-04-18,2024,4,18,Thursday,April,2
20240419,2024-04-19,2024,4,19,Friday,April,2
20240420,2024-04-20,2024,4,20,Saturday,April,2
20240421,2024-04-21,2024,4,21,Sunday,April,2
20240422,2024-04-22,2024,4,22,Monday,April,2
20240423,2024-04-23,2024,4,23,Tuesday,April,2
20240424,2024-04-24,2024,4,24,Wednesday,April,2
20240425,2024-04-25,2024,4,25,Thursday,April,2
20240426,2024-04-26,2024,4,26,Friday,April,2
20240427,2024-04-27,2024,4,27,Saturday,April,2
20240428,2024-04-28,2024,4,28,Sunday,April,2
20240429,2024-04-29,2024,4,29,Monday,April,2
20240430,2024-04-30,2024,4,30,Tuesday,April,2
20240501,2024-05-01,2024,5,1,Wednesday,May,2
20240502,2024-05-02,2024,5,2,Thursday,May,2
20240503,2024-05-03,2024,5,3,Friday,May,2
20240504,2024-05-04,2024,5,4,Saturday,May,2
20240505,2024-05-05,2024,5,5,Sunday,May,2
20240506,2024-05-06,2024,5,6,Monday,May,2
20240507,2024-05-07,2024,5,7,Tuesday,May,2
20240508,2024-05-08,2024,5,8,Wednesday,May,2
20240509,2024-05-09,2024,5,9,Thursday,May,2
20240510,2024-05-10,2024,5,10,Friday,May,2
20240511,2024-05-11,2024,5,11,Saturday,May,2
20240512,2024-05-12,2024,5,12,Sunday,May,2
20240513,2024-05-13,2024,5,13,Monday,May,2
20240514,2024-05-14,2024,5,14,Tuesday,May,2
20240515,2024-05-15,2024,5,15,Wednesday,May,2
20240516,2024-05-16,2024,5,16,Thursday,May,2
20240517,2024-05-17,2024,5,17,Friday,May,2
20240518,2024-05-18,2024,5,18,Saturday,May,2
20240519,2024-05-19,2024,5,19,Sunday,May,2
20240520,2024-05-20,2024,5,20,Monday,May,2
20240521,2024-05-21,2024,5,21,Tuesday,May,2
20240522,2024-05-22,2024,5,22,Wednesday,May,2
20240523,2024-05-23,2024,5,23,Thursday,May,2
20240524,2024-05-24,2024,5,24,Friday,May,2
20240525,2024-05-25,2024,5,25,Saturday,May,2
20240526,2024-05-26,2024,5,26,Sunday,May,2
20240527,2024-05-27,2024,5,27,Monday,May,2
20240528,2024-05-28,2024,5,28,Tuesday,May,2
20240529,2024-05-29,2024,5,29,Wednesday,May,2
20240530,2024-05-30,2024,5,30,Thursday,May,2
20240531,2024-05-31,2024,5,31,Friday,May,2
20240601,2024-06-01,2024,6,1,Saturday,June,2
20240602,2024-06-02,2024,6,2,Sunday,June,2
20240603,2024-06-03,2024,6,3,Monday,June,2
20240604,2024-06-04,2024,6,4,Tuesday,June,2
20240605,2024-06-05,2024,6,5,Wednesday,June,2
20240606,2024-06-06,2024,6,6,Thursday,June,2
20240607,2024-06-07,2024,6,7,Friday,June,2
20240608,2024-06-08,2024,6,8,Saturday,June,2
20240609,2024-06-09,2024,6,9,Sunday,June,2
20240610,2024-06-10,2024,6,10,Monday,June,2
20240611,2024-06-11,2024,6,11,Tuesday,June,2
20240612,2024-06-12,2024,6,12,Wednesday,June,2
20240613,2024-06-13,2024,6,13,Thursday,June,2
20240614,2024-06-14,2024,6,14,Friday,June,2
20240615,2024-06-15,2024,6,15,Saturday,June,2
20240616,2024-06-16,2024,6,16,Sunday,June,2
20240617,2024-06-17,2024,6,17,Monday,June,2
20240618,2024-06-18,2024,6,18,Tuesday,June,2
20240619,2024-06-19,2024,6,19,Wednesday,June,2
20240620,2024-06-20,2024,6,20,Thursday,June,2
20240621,2024-06-21,2024,6,21,Friday,June,2
20240622,2024-06-22,2024,6,22,Saturday,June,2
20240623,2024-06-23,2024,6,23,Sunday,June,2
20240624,2024-06-24,2024,6,24,Monday,June,2
20240625,2024-06-25,2024,6,25,Tuesday,June,2
20240626,2024-06-26,2024,6,26,Wednesday,June,2
20240627,2024-06-27,2024,6,27,Thursday,June,2
20240628,2024-06-28,2024,6,28,Friday,June,2
20240629,2024-06-29,2024,6,29,Saturday,June,2
20240630,2024-06-30,2024,6,30,Sunday,June,2
20240701,2024-07-01,2024,7,1,Monday,July,3
20240702,2024-07-02,2024,7,2,Tuesday,July,3
20240703,2024-07-03,2024,7,3,Wednesday,July,3
20240704,2024-07-04,2024,7,4,Thursday,July,3
20240705,2024-07-05,2024,7,5,Friday,July,3
20240706,2024-07-06,2024,7,6,Saturday,July,3
20240707,2024-07-07,2024,7,7,Sunday,July,3
20240708,2024-07-08,2024,7,8,Monday,July,3
20240709,2024-07-09,2024,7,9,Tuesday,July,3
20240710,2024-07-10,2024,7,10,Wednesday,July,3
20240711,2024-07-11,2024,7,11,Thursday,July,3
20240712,2024-07-12,2024,7,12,Friday,July,3
20240713,2024-07-13,2024,7,13,Saturday,July,3
20240714,2024-07-14,2024,7,14,Sunday,July,3
20240715,2024-07-15,2024,7,15,Monday,July,3
20240716,2024-07-16,2024,7,16,Tuesday,July,3
20240717,2024-07-17,2024,7,17,Wednesday,July,3
20240718,2024-07-18,2024,7,18,Thursday,July,3
20240719,2024-07-19,2024,7,19,Friday,July,3
20240720,2024-07-20,2024,7,20,Saturday,July,3
20240721,2024-07-21,2024,7,21,Sunday,July,3
20240722,2024-07-22,2024,7,22,Monday,July,3
20240723,2024-07-23,2024,7,23,Tuesday,July,3
20240724,2024-07-24,2024,7,24,Wednesday,July,3
20240725,2024-07-25,2024,7,25,Thursday,July,3
20240726,2024-07-26,2024,7,26,Friday,July,3
20240727,2024-07-27,2024,7,27,Saturday,July,3
20240728,2024-07-28,2024,7,28,Sunday,July,3
20240729,2024-07-29,2024,7,29,Monday,July,3
20240730,2024-07-30,2024,7,30,Tuesday,July,3
20240731,2024-07-31,2024,7,31,Wednesday,July,3
20240801,2024-08-01,2024,8,1,Thursday,August,3
20240802,2024-08-02,2024,8,2,Friday,August,3
20240803,2024-08-03,2024,8,3,Saturday,August,3
20240804,2024-08-04,2024,8,4,Sunday,August,3
20240805,2024-08-05,2024,8,5,Monday,August,3
20240806,2024-08-06,2024,8,6,Tuesday,August,3
20240807,2024-08-07,2024,8,7,Wednesday,August,3
20240808,2024-08-08,2024,8,8,Thursday,August,3
20240809,2024-08-09,2024,8,9,Friday,August,3
20240810,2024-08-10,2024,8,10,Saturday,August,3
20240811,2024-08-11,2024,8,11,Sunday,August,3
20240812,2024-08-12,2024,8,12,Monday,August,3
20240813,2024-08-13,2024,8,13,Tuesday,August,3
20240814,2024-08-14,2024,8,14,Wednesday,August,3
20240815,2024-08-15,2024,8,15,Thursday,August,3
20240816,2024-08-16,2024,8,16,Friday,August,3
20240817,2024-08-17,2024,8,17,Saturday,August,3
20240818,2024-08-18,2024,8,18,Sunday,August,3
20240819,2024-08-19,2024,8,19,Monday,August,3
20240820,2024-08-20,2024,8,20,Tuesday,August,3
20240821,2024-08-21,2024,8,21,Wednesday,August,3
20240822,2024-08-22,2024,8,22,Thursday,August,3
20240823,2024-08-23,2024,8,23,Friday,August,3
20240824,2024-08-24,2024,8,24,Saturday,August,3
20240825,2024-08-25,2024,8,25,Sunday,August,3
20240826,2024-08-26,2024,8,26,Monday,August,3
20240827,2024-08-27,2024,8,27,Tuesday,August,3
20240828,2024-08-28,2024,8,28,Wednesday,August,3
20240829,2024-08-29,2024,8,29,Thursday,August,3
20240830,2024-08-30,2024,8,30,Friday,August,3
20240831,2024-08-31,2024,8,31,Saturday,August,3
20240901,2024-09-01,2024,9,1,Sunday,September,3
20240902,2024-09-02,2024,9,2,Monday,September,3
20240903,2024-09-03,2024,9,3,Tuesday,September,3
20240904,2024-09-04,2024,9,4,Wednesday,September,3
20240905,2024-09-05,2024,9,5,Thursday,September,3
20240906,2024-09-06,2024,9,6,Friday,September,3
20240907,2024-09-07,2024,9,7,Saturday,September,3
20240908,2024-09-08,2024,9,8,Sunday,September,3
20240909,2024-09-09,2024,9,9,Monday,September,3
20240910,2024-09-10,2024,9,10,Tuesday,September,3
20240911,2024-09-11,2024,9,11,Wednesday,September,3
20240912,2024-09-12,2024,9,12,Thursday,September,3
20240913,2024-09-13,2024,9,13,Friday,September,3
20240914,2024-09-14,2024,9,14,Saturday,September,3
20240915,2024-09-15,2024,9,15,Sunday,September,3
20240916,2024-09-16,2024,9,16,Monday,September,3
20240917,2024-09-17,2024,9,17,Tuesday,September,3
20240918,2024-09-18,2024,9,18,Wednesday,September,3
20240919,2024-09-19,2024,9,19,Thursday,September,3
20240920,2024-09-20,2024,9,20,Friday,September,3
20240921,2024-09-21,2024,9,21,Saturday,September,3
20240922,2024-09-22,2024,9,22,Sunday,September,3
20240923,2024-09-23,2024,9,23,Monday,September,3
20240924,2024-09-24,2024,9,24,Tuesday,September,3
20240925,2024-09-25,2024,9,25,Wednesday,September,3
20240926,2024-09-26,2024,9,26,Thursday,September,3
20240927,2024-09-27,2024,9,27,Friday,September,3
20240928,2024-09-28,2024,9,28,Saturday,September,3
20240929,2024-09-29,2024,9,29,Sunday,September,3
20240930,2024-09-30,2024,9,30,Monday,September,3
20241001,2024-10-01,2024,10,1,Tuesday,October,4
20241002,2024-10-02,2024,10,2,Wednesday,October,4
20241003,2024-10-03,2024,10,3,Thursday,October,4
20241004,2024-10-04,2024,10,4,Friday,October,4
20241005,2024-10-05,2024,10,5,Saturday,October,4
20241006,2024-10-06,2024,10,6,Sunday,October,4
20241007,2024-10-07,2024,10,7,Monday,October,4
20241008,2024-10-08,2024,10,8,Tuesday,October,4
20241009,2024-10-09,2024,10,9,Wednesday,October,4
20241010,2024-10-10,2024,10,10,Thursday,October,4
20241011,2024-10-11,2024,10,11,Friday,October,4
20241012,2024-10-12,2024,10,12,Saturday,October,4
20241013,2024-10-13,2024,10,13,Sunday,October,4
20241014,2024-10-14,2024,10,14,Monday,October,4
20241015,2024-10-15,2024,10,15,Tuesday,October,4
20241016,2024-10-16,2024,10,16,Wednesday,October,4
20241017,2024-10-17,2024,10,17,Thursday,October,4
20241018,2024-10-18,2024,10,18,Friday,October,4
20241019,2024-10-19,2024,10,19,Saturday,October,4
20241020,2024-10-20,2024,10,20,Sunday,October,4
20241021,2024-10-21,2024,10,21,Monday,October,4
20241022,2024-10-22,2024,10,22,Tuesday,October,4
20241023,2024-10-23,2024,10,23,Wednesday,October,4
20241024,2024-10-24,2024,10,24,Thursday,October,4
20241025,2024-10-25,2024,10,25,Friday,October,4
20241026,2024-10-26,2024,10,26,Saturday,October,4
20241027,2024-10-27,2024,10,27,Sunday,October,4
20241028,2024-10-28,2024,10,28,Monday,October,4
20241029,2024-10-29,2024,10,29,Tuesday,October,4
20241030,2024-10-30,2024,10,30,Wednesday,October,4
20241031,2024-10-31,2024,10,31,Thursday,October,4
20241101,2024-11-01,2024,11,1,Friday,November,4
20241102,2024-11-02,2024,11,2,Saturday,November,4
20241103,2024-11-03,2024,11,3,Sunday,November,4
20241104,2024-11-04,2024,11,4,Monday,November,4
20241105,2024-11-05,2024,11,5,Tuesday,November,4
20241106,2024-11-06,2024,11,6,Wednesday,November,4
20241107,2024-11-07,2024,11,7,Thursday,November,4
20241108,2024-11-08,2024,11,8,Friday,November,4
20241109,2024-11-09,2024,11,9,Saturday,November,4
20241110,2024-11-10,2024,11,10,Sunday,November,4
20241111,2024-11-11,2024,11,11,Monday,November,4
20241112,2024-11-12,2024,11,12,Tuesday,November,4
20241113,2024-11-13,2024,11,13,Wednesday,November,4
20241114,2024-11-14,2024,11,14,Thursday,November,4
20241115,2024-11-15,2024,11,15,Friday,November,4
20241116,2024-11-16,2024,11,16,Saturday,November,4
20241117,2024-11-17,2024,11,17,Sunday,November,4
20241118,2024-11-18,2024,11,18,Monday,November,4
20241119,2024-11-19,2024,11,19,Tuesday,November,4
20241120,2024-11-20,2024,11,20,Wednesday,November,4
20241121,2024-11-21,2024,11,21,Thursday,November,4
20241122,2024-11-22,2024,11,22,Friday,November,4
20241123,2024-11-23,2024,11,23,Saturday,November,4
20241124,2024-11-24,2024,11,24,Sunday,November,4
20241125,2024-11-25,2024,11,25,Monday,November,4
20241126,2024-11-26,2024,11,26,Tuesday,November,4
20241127,2024-11-27,2024,11,27,Wednesday,November,4
20241128,2024-11-28,2024,11,28,Thursday,November,4
20241129,2024-11-29,2024,11,29,Friday,November,4
20241130,2024-11-30,2024,11,30,Saturday,November,4
20241201,2024-12-01,2024,12,1,Sunday,December,4
20241202,2024-12-02,2024,12,2,Monday,December,4
20241203,2024-12-03,2024,12,3,Tuesday,December,4
20241204,2024-12-04,2024,12,4,Wednesday,December,4
20241205,2024-12-05,2024,12,5,Thursday,December,4
20241206,2024-12-06,2024,12,6,Friday,December,4
20241207,2024-12-07,2024,12,7,Saturday,December,4
20241208,2024-12-08,2024,12,8,Sunday,December,4
20241209,2024-12-09,2024,12,9,Monday,December,4
20241210,2024-12-10,2024,12,10,Tuesday,December,4
20241211,2024-12-11,2024,12,11,Wednesday,December,4
20241212,2024-12-12,2024,12,12,Thursday,December,4
20241213,2024-12-13,2024,12,13,Friday,December,4
20241214,2024-12-14,2024,12,14,Saturday,December,4
20241215,2024-12-15,2024,12,15,Sunday,December,4
20241216,2024-12-16,2024,12,16,Monday,December,4
20241217,2024-12-17,2024,12,17,Tuesday,December,4
20241218,2024-12-18,2024,12,18,Wednesday,December,4
20241219,2024-12-19,2024,12,19,Thursday,December,4
20241220,2024-12-20,2024,12,20,Friday,December,4
20241221,2024-12-21,2024,12,21,Saturday,December,4
20241222,2024-12-22,2024,12,22,Sunday,December,4
20241223,2024-12-23,2024,12,23,Monday,December,4
20241224,2024-12-24,2024,12,24,Tuesday,December,4
20241225,2024-12-25,2024,12,25,Wednesday,December,4
20241226,2024-12-26,2024,12,26,Thursday,December,4
20241227,2024-12-27,2024,12,27,Friday,December,4
20241228,2024-12-28,2024,12,28,Saturday,December,4
20241229,2024-12-29,2024,12,29,Sunday,December,4
20241230,2024-12-30,2024,12,30,Monday,December,4
20241231,2024-12-31,2024,12,31,Tuesday,December,4
20250101,2025-01-01,2025,1,1,Wednesday,January,1
20250102,2025-01-02,2025,1,2,Thursday,January,1
20250103,2025-01-03,2025,1,3,Friday,January,1
20250104,2025-01-04,2025,1,4,Saturday,January,1
20250105,2025-01-05,2025,1,5,Sunday,January,1
20250106,2025-01-06,2025,1,6,Monday,January,1
20250107,2025-01-07,2025,1,7,Tuesday,January,1
20250108,2025-01-08,2025,1,8,Wednesday,January,1
20250109,2025-01-09,2025,1,9,Thursday,January,1
20250110,2025-01-10,2025,1,10,Friday,January,1
20250111,2025-01-11,2025,1,11,Saturday,January,1
20250112,2025-01-12,2025,1,12,Sunday,January,1
20250113,2025-01-13,2025,1,13,Monday,January,1
20250114,2025-01-14,2025,1,14,Tuesday,January,1
20250115,2025-01-15,2025,1,15,Wednesday,January,1
20250116,2025-01-16,2025,1,16,Thursday,January,1
20250117,2025-01-17,2025,1,17,Friday,January,1
20250118,2025-01-18,2025,1,18,Saturday,January,1
20250119,2025-01-19,2025,1,19,Sunday,January,1
20250120,2025-01-20,2025,1,20,Monday,January,1
20250121,2025-01-21,2025,1,21,Tuesday,January,1
20250122,2025-01-22,2025,1,22,Wednesday,January,1
20250123,2025-01-23,2025,1,23,Thursday,January,1
20250124,2025-01-24,2025,1,24,Friday,January,1
20250125,2025-01-25,2025,1,25,Saturday,January,1
20250126,2025-01-26,2025,1,26,Sunday,January,1
20250127,2025-01-27,2025,1,27,Monday,January,1
20250128,2025-01-28,2025,1,28,Tuesday,January,1
20250129,2025-01-29,2025,1,29,Wednesday,January,1
20250130,2025-01-30,2025,1,30,Thursday,January,1
20250131,2025-01-31,2025,1,31,Friday,January,1
20250201,2025-02-01,2025,2,1,Saturday,February,1
20250202,2025-02-02,2025,2,2,Sunday,February,1
20250203,2025-02-03,2025,2,3,Monday,February,1
20250204,2025-02-04,2025,2,4,Tuesday,February,1
20250205,2025-02-05,2025,2,5,Wednesday,February,1
20250206,2025-02-06,2025,2,6,Thursday,February,1
20250207,2025-02-07,2025,2,7,Friday,February,1
20250208,2025-02-08,2025,2,8,Saturday,February,1
20250209,2025-02-09,2025,2,9,Sunday,February,1
20250210,2025-02-10,2025,2,10,Monday,February,1
20250211,2025-02-11,2025,2,11,Tuesday,February,1
20250212,2025-02-12,2025,2,12,Wednesday,February,1
20250213,2025-02-13,2025,2,13,Thursday,February,1
20250214,2025-02-14,2025,2,14,Friday,February,1
20250215,2025-02-15,2025,2,15,Saturday,February,1
20250216,2025-02-16,2025,2,16,Sunday,February,1
20250217,2025-02-17,2025,2,17,Monday,February,1
20250218,2025-02-18,2025,2,18,Tuesday,February,1
20250219,2025-02-19,2025,2,19,Wednesday,February,1
20250220,2025-02-20,2025,2,20,Thursday,February,1
20250221,2025-02-21,2025,2,21,Friday,February,1
20250222,2025-02-22,2025,2,22,Saturday,February,1
20250223,2025-02-23,2025,2,23,Sunday,February,1
20250224,2025-02-24,2025,2,24,Monday,February,1
20250225,2025-02-25,2025,2,25,Tuesday,February,1
20250226,2025-02-26,2025,2,26,Wednesday,February,1
20250227,2025-02-27,2025,2,27,Thursday,February,1
20250228,2025-02-28,2025,2,28,Friday,February,1
20250301,2025-03-01,2025,3,1,Saturday,March,1
20250302,2025-03-02,2025,3,2,Sunday,March,1
20250303,2025-03-03,2025,3,3,Monday,March,1
20250304,2025-03-04,2025,3,4,Tuesday,March,1
20250305,2025-03-05,2025,3,5,Wednesday,March,1
20250306,2025-03-06,2025,3,6,Thursday,March,1
20250307,2025-03-07,2025,3,7,Friday,March,1
20250308,2025-03-08,2025,3,8,Saturday,March,1
20250309,2025-03-09,2025,3,9,Sunday,March,1
